generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
15001,Balaena_mysticetus,Physeter_catodon,0,0.132167,-0.0220205,0.011056,0
15001,Physeter_catodon,NA,24.8336,0.205319,-0.0461161,0.707851,0
15001,Orcaella_brevirostris,Lagenorhynchus_albirostris,25.8698,1.1533,-0.189728,0.221817,0
35001,Balaena_mysticetus,Physeter_catodon,0,0.195955,-0.0288973,0.0541625,0
35001,Orcaella_brevirostris,Lagenorhynchus_albirostris,25.793,1.28015,-0.248765,0.124309,0
55001,Balaena_mysticetus,Physeter_catodon,0,0.284183,-0.0380691,0.0495085,0
55001,Orcaella_brevirostris,Lagenorhynchus_albirostris,26.3822,1.90857,-0.226044,0.417425,0
75001,Balaena_mysticetus,Physeter_catodon,0,0.184226,-0.0246136,0.0164419,0
75001,Mesoplodon_hectori,Mesoplodon_densirostris,28.6897,0.739414,-0.418126,0.114232,0
75001,Orcaella_brevirostris,Lagenorhynchus_albirostris,26.1453,0.873798,-0.232527,0.0189067,0
95001,Balaena_mysticetus,Physeter_catodon,0,0.315823,-0.0456582,0.0605636,0
95001,Orcaella_brevirostris,Lagenorhynchus_albirostris,25.2424,0.693252,-0.175241,0.0230739,0
115001,Balaena_mysticetus,Physeter_catodon,0,0.182315,-0.0242329,0.0161886,0
115001,Kogia_breviceps,NA,33.7162,0.871149,-0.175144,1.5642,0
115001,Orcinus_orca,Orcaella_brevirostris,23.5064,0.818414,-0.12963,0.142221,0
135001,Balaena_mysticetus,Physeter_catodon,0,0.218462,-0.0430692,0.0151285,0
135001,Orcaella_brevirostris,Lagenorhynchus_albirostris,26.2515,0.732007,-0.196715,0.0590422,0
155001,Balaena_mysticetus,Physeter_catodon,0,0.266077,-0.0331314,0.0702997,0
155001,Balaenoptera_omurai,NA,34.353,0.368822,0.00592479,1.17494,0
155001,Lagenodelphis_hosei,NA,32.9479,0.0378066,-0.122979,0.413765,0
155001,Orcaella_brevirostris,Lagenorhynchus_albirostris,25.6869,0.933526,-0.182734,0.0805162,0
175001,Balaena_mysticetus,Physeter_catodon,0,0.136965,-0.021278,0.00640389,0
175001,Orcaella_brevirostris,Lagenorhynchus_albirostris,25.3632,2.28122,-0.193092,0.590424,0
195001,Balaena_mysticetus,Physeter_catodon,0,0.164152,-0.0212684,0.0363729,0
195001,Orcaella_brevirostris,Lagenorhynchus_albirostris,26.4116,0.843118,-0.229787,0.028306,0
215001,Balaena_mysticetus,Physeter_catodon,0,0.441759,-0.0428586,0.105906,0
215001,Platanista_gangetica,Platanista_minor,20.6941,0.362674,0.063311,0.61974,0
215001,Orcinus_orca,Orcaella_brevirostris,24.7044,0.779135,-0.11507,0.116181,0
235001,Balaena_mysticetus,Physeter_catodon,0,0.252835,-0.0442256,0.0232246,0
235001,Orcaella_brevirostris,Lagenorhynchus_albirostris,25.6009,1.10838,-0.171874,0.0168024,0
255001,Balaena_mysticetus,Physeter_catodon,0,0.116754,-0.0143934,0.00983234,0
255001,Cephalorhynchus_heavisidii,Lagenorhynchus_australis,33.6767,1.36324,-0.174951,0.542496,0
255001,Orcaella_brevirostris,Lagenorhynchus_albirostris,26.0826,0.384663,-0.0828477,0.147899,0
275001,Balaena_mysticetus,Physeter_catodon,0,0.206261,-0.0402987,0.0231867,0
275001,Orcaella_brevirostris,Lagenorhynchus_albirostris,26.1747,0.958724,-0.21045,0.151803,0
295001,Balaena_mysticetus,Physeter_catodon,0,0.323557,-0.0438918,0.0730182,0
295001,Orcinus_orca,Orcaella_brevirostris,23.5289,1.3515,-0.197958,0.118624,0
315001,Balaena_mysticetus,Physeter_catodon,0,0.162927,-0.0194117,0.0502763,0
315001,Orcinus_orca,NA,31.1712,0.323673,-0.165991,1.36197,0
315001,Orcinus_orca,Orcaella_brevirostris,23.5525,1.00703,-0.15786,0.0510761,0
335001,Balaena_mysticetus,Physeter_catodon,0,0.278339,-0.0223987,0.0773144,0
